"","platform","year_of_release","genre","publisher","global_sales","critic_score","rating","developer","name","na_sales","eu_sales","jp_sales","other_sales","critic_count","user_score","user_count"
"4830","Wii",2009,"Racing","Zoo Games",0.4,NA,"E","Zoo Games","Monster Trucks Mayhem",0.38,0,0,0.02,NA,NA,NA
"4831","PS",1999,"Misc","Vivendi Games",0.4,NA,NA,NA,"You Don't Know Jack",0.22,0.15,0,0.03,NA,NA,NA
"4832","X360",2010,"Sports","Activision",0.4,NA,"E","FUN Labs","Rapala Pro Bass Fishing 2010",0.32,0.05,0,0.03,NA,NA,NA
"4833","PSP",2005,"Fighting","THQ",0.4,81,"T","Yuke's","WWE SmackDown! vs. RAW 2006",0.36,0,0,0.03,30,8.5,37
"4834","PC",2010,"Action","Take-Two Interactive",0.4,77,"M","2K Czech","Mafia II",0.17,0.17,0,0.05,46,7.9,1238
"4835","DS",2009,"Action","Ubisoft",0.4,NA,NA,NA,"Avatar: The Game",0.18,0.18,0,0.04,NA,NA,NA
"4836","SNES",1995,"Role-Playing","ChunSoft",0.4,NA,NA,NA,"Mystery Dungeon: Shiren the Wanderer",0,0,0.4,0,NA,NA,NA
"4837","PS3",2015,"Sports","Konami Digital Entertainment",0.4,NA,"E","Konami","Pro Evolution Soccer 2016",0.09,0.12,0.15,0.04,NA,7.2,40
"4838","GC",2002,"Shooter","Activision",0.4,NA,NA,NA,"Star Wars: Clone Wars",0.31,0.08,0,0.01,NA,NA,NA
"4839","XB",2001,"Sports","Electronic Arts",0.4,76,"E","Electronic Arts","NBA Live 2002",0.35,0.03,0,0.02,15,7.5,6
"4840","PS3",2008,"Sports","Sega",0.4,67,"E10+","Sumo Digital","Sega Superstars Tennis",0.13,0.2,0,0.07,31,7.4,7
"4841","Wii",2009,"Simulation","Electronic Arts",0.4,61,"E10+","Maxis","Spore Hero",0.35,0.02,0,0.03,23,7.1,36
"4842","Wii",2008,"Sports","RTL",0.4,NA,"E","49Games","Winter Sports 2: The Next Challenge",0.17,0.18,0,0.04,NA,NA,NA
"4843","PS",2000,"Adventure","Sony Computer Entertainment",0.4,NA,NA,NA,"Boku no Natsuyasumi",0,0,0.37,0.03,NA,NA,NA
"4844","PS2",2003,"Platform","Sony Computer Entertainment",0.4,73,"T","Argonaut Games","I-Ninja",0.19,0.15,0,0.05,39,8.3,22
"4845","PS3",2007,"Action","Activision",0.4,NA,NA,NA,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.32,0.03,0.01,0.04,NA,NA,NA
"4846","DS",2012,"Misc","Activision",0.4,NA,"E","Black Lantern Studios","Moshi Monsters: Moshlings Theme Park",0.03,0.33,0,0.04,NA,NA,NA
"4847","DS",2009,"Action","Atari",0.4,55,"E","Zen Studios","Ghostbusters: The Video Game",0.24,0.12,0,0.04,17,6,7
"4848","PS",1996,"Strategy","Virgin Interactive",0.4,NA,NA,NA,"Command & Conquer",0.22,0.15,0,0.03,NA,NA,NA
"4849","PS2",NA,"Simulation","Unknown",0.4,76,"E","Victor Interactive Software","Harvest Moon: Save the Homeland",0.19,0.15,0,0.05,14,8.8,72
"4850","PS2",2004,"Strategy","Namco Bandai Games",0.4,NA,NA,NA,"SD Gundam G Generation Seed",0,0,0.4,0,NA,NA,NA
"4851","GC",2004,"Shooter","Activision",0.4,74,"T","Exakt","Call of Duty: Finest Hour",0.31,0.08,0,0.01,31,8.9,13
"4852","DS",2007,"Role-Playing","D3Publisher",0.4,57,"E10+","TOSE","Naruto: Path of the Ninja",0.37,0,0,0.03,18,7.2,9
"4853","SNES",1995,"Role-Playing","Namco Bandai Games",0.4,NA,NA,NA,"Tales of Phantasia",0,0,0.4,0,NA,NA,NA
"4854","Wii",2008,"Racing","Warner Bros. Interactive Entertainment",0.4,NA,NA,NA,"Speed Racer: The Videogame",0.35,0.02,0,0.03,NA,NA,NA
"4855","DS",2006,"Platform","Konami Digital Entertainment",0.4,85,"T","Konami","Castlevania: Portrait of Ruin",0.31,0.02,0.04,0.03,51,8.3,87
"4856","PS2",2005,"Racing","Jester Interactive",0.4,71,"E","Jester Interactive","Suzuki TT Superbikes",0.33,0.01,0,0.05,7,8.5,8
"4857","PS2",2004,"Fighting","Konami Digital Entertainment",0.39,66,"M","Yuke's","Rumble Roses",0.19,0.15,0,0.05,44,8.5,20
"4858","X360",2015,"Action","Disney Interactive Studios",0.39,NA,NA,NA,"Disney Infinity 3.0",0.21,0.15,0,0.03,NA,NA,NA
"4859","X360",2007,"Action","Eidos Interactive",0.39,77,"T","Crystal Dynamics","Tomb Raider: Anniversary",0.12,0.22,0,0.05,33,8.3,39
"4860","DS",2009,"Adventure","Focus Home Interactive",0.39,57,"E","Frogwares, Mistic Software","Sherlock Holmes: The Mystery of the Mummy",0.06,0.3,0,0.04,8,3.1,9
"4861","PS2",2007,"Action","Take-Two Interactive",0.39,36,"T","7 Studios","Fantastic Four: Rise of the Silver Surfer",0.19,0.15,0,0.05,7,6.4,17
"4862","XB",2005,"Action","Activision",0.39,77,"T","Treyarch","Ultimate Spider-Man",0.26,0.11,0,0.02,53,7.4,20
"4863","Wii",2008,"Simulation","Electronic Arts",0.39,NA,"E","Full Fat","Littlest Pet Shop",0.33,0.03,0,0.03,NA,NA,NA
"4864","PS2",2007,"Racing","THQ",0.39,66,"T","Juice Games","Juiced 2: Hot Import Nights",0.19,0.15,0.01,0.05,4,6.7,10
"4865","DS",2009,"Action","LucasArts",0.39,NA,"E10+","LucasArts","Star Wars The Clone Wars: Republic Heroes",0.22,0.14,0,0.04,NA,5.3,4
"4866","N64",1998,"Sports","Electronic Arts",0.39,NA,NA,NA,"NHL 99",0.38,0.01,0,0,NA,NA,NA
"4867","3DS",2012,"Action","Warner Bros. Interactive Entertainment",0.39,61,"E10+","TT Games","LEGO The Lord of the Rings",0.2,0.16,0,0.03,4,7.6,10
"4868","PSP",2011,"Role-Playing","Level 5",0.39,NA,NA,NA,"Danball Senki",0,0,0.39,0,NA,NA,NA
"4869","Wii",2010,"Action","Rising Star Games",0.39,84,"M","Grasshopper Manufacture","No More Heroes 2: Desperate Struggle",0.2,0.11,0.04,0.03,68,8.8,184
"4870","PS",2000,"Racing","Hasbro Interactive",0.39,62,"E","Monster Games Inc.","NASCAR Heat",0.22,0.15,0,0.03,5,NA,NA
"4871","DS",2009,"Action","Sega",0.39,NA,"E","Firebrand Games","Planet 51",0.22,0.14,0,0.04,NA,NA,NA
"4872","PS",1997,"Fighting","Virgin Interactive",0.39,NA,NA,NA,"Bloody Roar",0.22,0.15,0,0.03,NA,NA,NA
"4873","2600",1982,"Racing","Mattel Interactive",0.39,NA,NA,NA,"Bump 'n' Jump",0.37,0.02,0,0,NA,NA,NA
"4874","PS2",2002,"Shooter","Namco Bandai Games",0.39,NA,NA,NA,"Mobile Suit Gundam: Lost War Chronicles",0,0,0.39,0,NA,NA,NA
"4875","X360",2009,"Fighting","THQ",0.39,71,"T","Yuke's","Legends of WrestleMania",0.2,0.15,0,0.04,59,6.3,23
"4876","Wii",2011,"Sports","Namco Bandai Games",0.39,69,"E","Prope","Fishing Resort",0.14,0,0.25,0.01,9,7,8
"4877","GBA",2003,"Action","THQ",0.39,NA,"E","Vicarious Visions","Disney's Brother Bear",0.28,0.1,0,0.01,NA,NA,NA
"4878","PS3",2012,"Simulation","Namco Bandai Games",0.39,65,"T","From Software","Armored Core V",0.09,0.04,0.24,0.02,26,7.3,47
"4879","PS2",2008,"Sports","Electronic Arts",0.39,NA,"E","EA Canada","NBA Live 09",0.32,0.01,0.01,0.05,NA,7.4,14
"4880","PS4",2015,"Action","Deep Silver",0.39,NA,NA,NA,"Saints Row IV",0.13,0.18,0.03,0.06,NA,NA,NA
"4881","PC",2010,"Role-Playing","Electronic Arts",0.39,94,"M","BioWare","Mass Effect 2",0.01,0.32,0,0.06,55,8.8,3559
"4882","PS3",2010,"Action","Electronic Arts",0.39,38,"T","EA Bright Light","Harry Potter and the Deathly Hallows - Part 1",0.13,0.2,0,0.07,27,2.8,23
"4883","XB",2002,"Shooter","Sega",0.39,72,"M","Wow Entertainment","The House of The Dead III",0.29,0.08,0,0.01,30,7.3,9
"4884","3DS",2012,"Role-Playing","Namco Bandai Games",0.39,70,"T","Monolith Soft, Banpresto","Project X Zone",0.18,0.04,0.15,0.02,53,7.3,146
"4885","PS3",2010,"Sports","Electronic Arts",0.39,71,"E","EA Canada","NBA Jam",0.22,0.12,0,0.06,33,5.7,14
"4886","GBA",2002,"Role-Playing","Nintendo",0.39,NA,NA,NA,"Fire Emblem: Fuuin no Tsurugi",0,0,0.39,0,NA,NA,NA
"4887","PS4",2015,"Action","Bethesda Softworks",0.39,NA,NA,NA,"Dishonored",0.12,0.2,0.02,0.06,NA,NA,NA
"4888","XOne",2016,"Role-Playing","Namco Bandai Games",0.39,87,NA,"From Software","Dark Souls III",0.26,0.09,0,0.04,14,8.6,514
"4889","X360",2010,"Sports","Electronic Arts",0.39,75,"E","EA Canada","NBA Jam",0.27,0.09,0,0.03,30,7,24
"4890","DS",2008,"Misc","Activision",0.39,NA,NA,NA,"Dancing with the Stars: We Dance!",0.36,0,0,0.03,NA,NA,NA
"4891","PSP",2008,"Sports","Electronic Arts",0.39,NA,"E","EA Sports","NBA Live 09",0.23,0.07,0.03,0.06,NA,7.3,8
"4892","DS",2008,"Sports","Ubisoft",0.39,NA,"E","1st Playable Productions","Ener-G: Gym Rockets",0.36,0,0,0.03,NA,NA,NA
"4893","2600",1981,"Action","Activision",0.39,NA,NA,NA,"Laser Blast",0.37,0.02,0,0,NA,NA,NA
"4894","3DS",2011,"Sports","Electronic Arts",0.39,49,"E","EA Tiburon","Madden NFL Football",0.36,0.01,0,0.03,18,5.3,16
"4895","PS",1998,"Sports","Take-Two Interactive",0.39,NA,NA,NA,"Thrasher Presents: Skate and Destroy",0.22,0.15,0,0.03,NA,NA,NA
"4896","DS",2008,"Misc","THQ",0.39,NA,"E","THQ","Are You Smarter than a 5th Grader? Make the Grade",0.36,0,0,0.03,NA,NA,NA
"4897","GC",2004,"Misc","Nintendo",0.39,69,"T","Namco","Donkey Konga 2",0.3,0.08,0,0.01,30,6,9
"4898","PSP",2009,"Action","THQ",0.39,NA,NA,NA,"SpongeBob's Truth or Square (US sales)",0.39,0,0,0,NA,NA,NA
"4899","PS",2001,"Role-Playing","Enterbrain",0.39,NA,NA,NA,"Tear Ring Saga Yutona Eiyuu Senki",0,0,0.37,0.03,NA,NA,NA
"4900","PS3",2012,"Action","Activision",0.39,77,"T","High Moon Studios","Transformers: Fall of Cybertron",0.19,0.14,0,0.06,32,8.2,87
"4901","X360",2010,"Role-Playing","Sega",0.39,63,"M","Obsidian Entertainment","Alpha Protocol",0.23,0.12,0,0.04,68,7.2,201
"4902","PSV",2012,"Action","Konami Digital Entertainment",0.39,NA,NA,NA,"Metal Gear Solid HD Edition",0.12,0.16,0.05,0.06,NA,NA,NA
"4903","3DS",2011,"Sports","Electronic Arts",0.39,NA,NA,NA,"FIFA 12",0.08,0.26,0,0.05,NA,NA,NA
"4904","Wii",2011,"Misc","Namco Bandai Games",0.39,NA,NA,NA,"Taiko no Tatsujin Wii: Ketteiban",0,0,0.39,0,NA,NA,NA
"4905","XB",2003,"Sports","Electronic Arts",0.39,92,"E","EA Canada","SSX 3",0.29,0.08,0,0.01,27,8.7,25
"4906","3DS",2011,"Strategy","Ubisoft",0.39,44,"E10+","Ubisoft","Combat of Giants: Dinosaurs 3D",0.25,0.06,0.05,0.03,18,5.3,9
"4907","GBA",2004,"Sports","Electronic Arts",0.39,79,"E","Exient Entertainment","Madden NFL 2005",0.28,0.1,0,0.01,9,7.6,5
"4908","N64",1999,"Sports","Acclaim Entertainment",0.39,NA,NA,NA,"All-Star Baseball 2000",0.36,0.03,0,0,NA,NA,NA
"4909","N64",2000,"Fighting","Nintendo",0.39,NA,NA,NA,"Custom Robo V2",0,0,0.34,0.05,NA,NA,NA
"4910","N64",1998,"Racing","Acclaim Entertainment",0.39,NA,NA,NA,"Extreme-G: XG2",0.31,0.07,0,0,NA,NA,NA
"4911","N64",1999,"Action","3DO",0.39,NA,NA,NA,"BattleTanx: Global Assault",0.31,0.07,0,0,NA,NA,NA
"4912","Wii",2009,"Action","Square Enix",0.39,66,"T","Square Enix","Final Fantasy Crystal Chronicles: The Crystal Bearers",0.21,0.07,0.08,0.03,53,7.6,70
"4913","Wii",2009,"Action","THQ",0.39,NA,NA,NA,"SpongeBob's Truth or Square (US sales)",0.38,0.01,0,0,NA,NA,NA
"4914","PS4",2016,"Adventure","Sony Computer Entertainment",0.39,72,"M","SuperMassive Games","Until Dawn: Rush of Blood",0.18,0.15,0,0.07,49,8,68
"4915","GC",2005,"Adventure","Nintendo",0.39,NA,NA,NA,"Chibi-Robo! Plug into Adventure!",0.23,0.06,0.09,0.01,NA,NA,NA
"4916","WiiU",2013,"Platform","Sega",0.39,63,"E10+","Sonic Team","Sonic Lost World",0.23,0.12,0.01,0.03,64,7.3,461
"4917","Wii",2010,"Action","Sega",0.39,NA,NA,NA,"Super Monkey Ball: Step & Roll",0.15,0.19,0,0.04,NA,NA,NA
"4918","PS4",2013,"Platform","Activision",0.39,79,"E10+","Vicarious Visions","Skylanders SWAP Force",0.2,0.12,0,0.06,7,5.2,45
"4919","PS3",2010,"Action","Sega",0.39,41,"T","Sega Studios San Francisco","Iron Man 2",0.14,0.18,0,0.07,28,5.2,36
"4920","PS2",2003,"Misc","Sony Computer Entertainment",0.39,NA,NA,NA,"Jampack Winter 2003 (RP-T)",0.19,0.15,0,0.05,NA,NA,NA
"4921","X360",2009,"Action","LucasArts",0.39,43,"T","Krome Studios","Star Wars The Clone Wars: Republic Heroes",0.18,0.17,0,0.04,37,6.3,19
"4922","DS",2008,"Racing","Activision",0.39,NA,"E","Torus Games","Monster Jam: Urban Assault",0.36,0,0,0.03,NA,NA,NA
"4923","PS2",2000,"Fighting","Ubisoft",0.39,62,"M","Light Weight","Kengo: Master of Bushido",0.16,0.13,0.06,0.04,13,8.4,8
"4924","PS2",2002,"Action","Eidos Interactive",0.39,67,"M","Crystal Dynamics","Blood Omen 2",0.19,0.15,0,0.05,18,8.8,19
"4925","PS3",2010,"Misc","Electronic Arts",0.39,64,"E","Electronic Arts","Monopoly Streets",0.16,0.17,0,0.06,11,6.1,9
"4926","SNES",1991,"Fighting","Human Entertainment",0.39,NA,NA,NA,"Super Fire ProWrestling",0,0,0.39,0,NA,NA,NA
"4927","PS2",2005,"Sports","Activision",0.39,NA,"T","Sand Grain Studios","Cabela's Dangerous Hunts 2",0.19,0.15,0,0.05,NA,5.6,14
"4928","PS3",2008,"Action","Sega",0.39,82,"M","Monolith Productions","Condemned 2: Bloodshot",0.17,0.16,0,0.06,37,8.1,89
"4929","Wii",2011,"Misc","THQ",0.39,NA,"E","Page 44 Studios","Disney Princess: Enchanting Storybooks",0.25,0.1,0,0.03,NA,NA,NA
"4930","PS2",2003,"Misc","Ubisoft",0.39,79,"E","Ubisoft Romania","Chessmaster",0.19,0.15,0,0.05,9,7.3,13
"4931","SNES",1992,"Fighting","Takara",0.39,NA,NA,NA,"Fatal Fury",0,0,0.39,0,NA,NA,NA
"4932","GB",2001,"Role-Playing","Banpresto",0.39,NA,NA,NA,"From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!",0,0,0.39,0,NA,NA,NA
"4933","X360",2012,"Shooter","Take-Two Interactive",0.39,80,"M","Digital Extremes","The Darkness II",0.24,0.11,0,0.03,71,7.5,219
"4934","PS2",2006,"Platform","Vivendi Games",0.39,68,"E10+","Eurocom Entertainment Software","Ice Age 2: The Meltdown",0.19,0.15,0,0.05,19,8,6
"4935","GBA",2005,"Simulation","Electronic Arts",0.39,58,"E10+","Maxis","The Sims 2",0.28,0.1,0,0.01,11,7.5,6
"4936","X360",2006,"Action","Eidos Interactive",0.39,82,"M","Io Interactive","Hitman: Blood Money",0.29,0.06,0.01,0.03,53,8.7,102
"4937","SNES",1994,"Sports","Namco Bandai Games",0.39,NA,NA,NA,"Super Famista 3",0,0,0.39,0,NA,NA,NA
"4938","DS",2005,"Strategy","Nintendo",0.39,90,"E","Intelligent Systems","Advance Wars: Dual Strike",0.3,0.02,0.04,0.03,49,9,163
"4939","PS2",2002,"Racing","Capcom",0.39,66,"E","Capcom","Auto Modellista",0.19,0.15,0,0.05,20,7.5,13
"4940","Wii",2012,"Action","Activision",0.39,NA,NA,NA,"WipeOut 3 The Game",0.36,0,0,0.03,NA,NA,NA
"4941","PS3",2015,"Sports","Sony Computer Entertainment",0.39,NA,"E","SCEA San Diego Studios","MLB 15: The Show",0.31,0.01,0,0.07,NA,8.2,6
"4942","XB",2005,"Shooter","Ubisoft",0.39,84,"T","Red Storm Entertainment","Tom Clancy's Ghost Recon 2: Summit Strike",0.29,0.08,0,0.01,40,7.2,35
"4943","PS2",2007,"Sports","Electronic Arts",0.39,65,"E","EA Salt Lake","Tiger Woods PGA Tour 08",0.19,0.15,0,0.05,10,NA,NA
"4944","PS4",2016,"Racing","Codemasters",0.39,NA,NA,NA,"F1 2016 (Codemasters)",0.03,0.29,0.01,0.05,NA,NA,NA
"4945","PS4",2014,"Misc","Ubisoft",0.39,72,"E10+","Ubisoft","Just Dance 2015",0.19,0.13,0,0.07,8,5.8,32
"4946","PS3",NA,"Action","Vivendi Games",0.39,70,"T","High Moon Studios","Robert Ludlum's The Bourne Conspiracy",0.18,0.14,0,0.06,47,7.6,43
"4947","3DS",2011,"Action","Tecmo Koei",0.39,61,"T","Omega Force","Samurai Warriors Chronicles",0.12,0.05,0.2,0.01,30,7.7,35
"4948","PS2",2008,"Misc","Konami Digital Entertainment",0.39,76,"E","Blitz Games","Karaoke Revolution Presents American Idol Encore",0.19,0.15,0,0.05,4,NA,NA
"4949","2600",1981,"Action","Data Age",0.39,NA,NA,NA,"Airlock",0.36,0.02,0,0,NA,NA,NA
"4950","PS",1999,"Simulation","Konami Digital Entertainment",0.39,NA,NA,NA,"Tokimeki Memorial 2",0,0,0.36,0.03,NA,NA,NA
"4951","Wii",2009,"Sports","505 Games",0.39,NA,NA,NA,"Hooked! Again: Real Motion Fishing",0.36,0,0,0.03,NA,NA,NA
"4952","DS",2009,"Adventure","THQ",0.39,NA,"E","THQ","SpongeBob vs The Big One: Beach Party Cook Off",0.24,0.11,0,0.04,NA,NA,NA
"4953","3DS",2013,"Action","Namco Bandai Games",0.39,75,"T","Ganbarion","One Piece: Unlimited World Red",0.05,0.04,0.28,0.01,5,7.6,26
"4954","X360",2010,"Sports","Electronic Arts",0.39,68,"E","EA Canada","EA Sports Active 2",0.18,0.16,0,0.04,21,5.4,9
"4955","PS3",2008,"Racing","Capcom",0.39,65,"E","Milestone S.r.l","MotoGP 08",0.07,0.24,0,0.08,21,6,9
"4956","X360",2011,"Shooter","THQ",0.39,71,"M","Volition Inc.","Red Faction: Armageddon",0.18,0.16,0.01,0.04,74,7,77
"4957","GBA",2003,"Sports","Electronic Arts",0.39,53,"E","Magic Pockets","Harry Potter: Quidditch World Cup",0.28,0.1,0,0.01,6,8.3,9
"4958","PS3",2011,"Role-Playing","Square Enix",0.39,71,"T","Obsidian Entertainment","Dungeon Siege III",0.17,0.13,0.03,0.05,52,6.3,86
"4959","PS2",2003,"Action","THQ",0.38,NA,NA,NA,"Evil Dead: Fistfull of Boomstick",0.19,0.15,0,0.05,NA,NA,NA
"4960","PS3",NA,"Action","Konami Digital Entertainment",0.38,71,"M","Double Helix Games","Silent Hill: Homecoming",0.18,0.14,0,0.06,41,6.9,143
"4961","PS",1996,"Sports","Electronic Arts Victor",0.38,NA,NA,NA,"Triple Play 97",0.21,0.15,0,0.03,NA,NA,NA
"4962","PSV",2012,"Racing","Sega",0.38,NA,NA,NA,"Sonic & All-Stars Racing Transformed",0.09,0.2,0,0.09,NA,NA,NA
"4963","SNES",1991,"Sports","Nintendo",0.38,NA,NA,NA,"Super Soccer",0,0,0.38,0,NA,NA,NA
"4964","PS2",2003,"Role-Playing","Ghostlight",0.38,82,"M","Atlus Co.","Shin Megami Tensei: Nocturne",0.07,0.05,0.25,0.02,42,8.7,83
"4965","GB",1998,"Platform","Nintendo",0.38,NA,NA,NA,"Wario Land II (GBC)",0,0,0.38,0,NA,NA,NA
"4966","PS",1997,"Racing","GT Interactive",0.38,NA,NA,NA,"San Francisco Rush: Extreme Racing",0.21,0.15,0,0.03,NA,NA,NA
"4967","PS",1998,"Racing","Human Entertainment",0.38,NA,NA,NA,"Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi",0,0,0.36,0.03,NA,NA,NA
"4968","X360",2013,"Simulation","Focus Home Interactive",0.38,33,"E","Giants Software","Farming Simulator 2013",0.22,0.13,0,0.04,12,6.2,30
"4969","XB",2004,"Sports","Sega",0.38,86,"E","Visual Concepts","ESPN College Hoops 2K5",0.29,0.08,0,0.01,18,8.3,11
"4970","PS2",2007,"Action","Warner Bros. Interactive Entertainment",0.38,38,"E10+","Red Tribe","Looney Tunes: Acme Arsenal",0.19,0.15,0,0.05,10,3.9,7
"4971","PS2",2007,"Strategy","Namco Bandai Games",0.38,NA,NA,NA,"SD Gundam G Generation Spirits",0,0,0.38,0,NA,NA,NA
"4972","Wii",2009,"Misc","Nordic Games",0.38,NA,NA,NA,"Dance Party: Pop Hits",0,0.36,0,0.02,NA,NA,NA
"4973","PS3",2006,"Role-Playing","Activision",0.38,78,"T","Raven Software","Marvel: Ultimate Alliance",0.33,0.02,0,0.03,35,7.6,49
"4974","GBA",2005,"Platform","Jack of All Games",0.38,NA,NA,NA,"The Cat in the Hat",0.27,0.1,0,0.01,NA,NA,NA
"4975","DS",2007,"Puzzle","Eidos Interactive",0.38,NA,NA,NA,"Diner Dash: Sizzle & Serve",0.33,0.02,0,0.03,NA,NA,NA
"4976","3DS",2011,"Role-Playing","Ghostlight",0.38,78,"T","Atlus","Shin Megami Tensei: Devil Survivor Overclocked",0.28,0.01,0.06,0.03,27,8.2,97
"4977","PS2",2001,"Sports","Sony Computer Entertainment",0.38,51,"E","Red Zone Entertainment","NFL GameDay 2002",0.19,0.15,0,0.05,18,4.6,5
"4978","Wii",2008,"Fighting","Tomy Corporation",0.38,72,"T","Eighting","Naruto: Clash of Ninja Revolution 2",0.34,0.02,0,0.03,20,8.4,16
"4979","GC",2002,"Shooter","Acclaim Entertainment",0.38,70,"M","Acclaim","Turok: Evolution",0.3,0.08,0,0.01,19,7,21
"4980","PS3",2007,"Sports","Electronic Arts",0.38,77,"E","EA Sports","NCAA Football 08",0.35,0,0,0.03,13,7.9,28
"4981","DS",2007,"Misc","Ubisoft",0.38,NA,NA,NA,"Jam Sessions: Sing and Play Guitar (US sales)",0.38,0,0,0,NA,NA,NA
"4982","PS2",2002,"Strategy","Namco Bandai Games",0.38,NA,NA,NA,"Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden",0,0,0.38,0,NA,NA,NA
"4983","GBA",2002,"Action","Ubisoft",0.38,47,"E","Artificial Mind and Movement","Ice Age",0.27,0.1,0,0.01,11,NA,NA
"4984","PS2",2008,"Sports","Sega",0.38,70,"E10+","Sumo Digital","Sega Superstars Tennis",0.1,0,0,0.28,9,8.3,4
"4985","PS2",2002,"Action","Sega",0.38,74,"M","Amuze","Headhunter",0.19,0.15,0,0.05,24,7.8,19
"4986","Wii",2013,"Sports","Electronic Arts",0.38,NA,"E","EA Canada","FIFA 14",0,0.36,0,0.02,NA,4.3,19
"4987","DS",2005,"Platform","Nintendo",0.38,NA,NA,NA,"Yoshi Touch & Go",0.34,0.02,0,0.03,NA,NA,NA
"4988","PS3",2008,"Action","Sega",0.38,65,"M","Creative Assembly","Viking: Battle for Asgard",0.14,0.17,0,0.07,38,7.4,32
"4989","PS4",2015,"Misc","Harmonix Music Systems",0.38,78,"T","Harmonix Music Systems","Rock Band 4",0.26,0.05,0,0.07,51,6.3,87
"4990","SAT",1995,"Role-Playing","Atlus",0.38,NA,NA,NA,"Shin Megami Tensei: Devil Summoner",0,0,0.38,0,NA,NA,NA
"4991","DS",2009,"Misc","Avanquest",0.38,NA,"E","Uacari","Junior Classic Games",0.26,0.09,0,0.03,NA,NA,NA
"4992","GC",2005,"Fighting","Electronic Arts",0.38,54,"T","EA Canada, Nihilistic","Marvel Nemesis: Rise of the Imperfects",0.3,0.08,0,0.01,19,5.7,24
"4993","PS",1994,"Sports","Sony Computer Entertainment",0.38,NA,NA,NA,"ESPN Extreme Games",0.11,0.08,0.17,0.03,NA,NA,NA
"4994","Wii",2007,"Sports","505 Games",0.38,52,"E","Point of View","Brunswick Pro Bowling",0.35,0.01,0,0.03,11,5.4,23
"4995","PS",1998,"Action","Eidos Interactive",0.38,NA,NA,NA,"Ninja: Shadow of Darkness",0.21,0.14,0,0.02,NA,NA,NA
"4996","X360",2014,"Shooter","Bethesda Softworks",0.38,NA,"M","MachineGames","Wolfenstein: The New Order",0.18,0.17,0,0.03,NA,7.4,98
"4997","PS",2000,"Strategy","Namco Bandai Games",0.38,NA,NA,NA,"SD Gundam G Generation-F",0,0,0.36,0.02,NA,NA,NA
"4998","PS2",2005,"Misc","THQ",0.38,60,"E","Blitz Games","Bratz: Rock Angelz",0.19,0.15,0,0.05,7,5.1,7
"4999","PS2",2004,"Racing","Empire Interactive",0.38,70,"T","Bugbear","FlatOut",0.19,0.15,0,0.05,30,8.5,16
"5000","3DS",2013,"Adventure","Capcom",0.38,NA,NA,NA,"Phoenix Wright: Ace Attorney - Dual Destinies",0,0,0.38,0,NA,NA,NA
"5001","PC",2016,"Shooter","Electronic Arts",0.38,88,"M","EA DICE","Battlefield 1",0.11,0.24,0,0.03,54,7.6,1137
"5002","GC",2003,"Sports","Electronic Arts",0.38,92,"E","EA Canada","SSX 3",0.29,0.08,0,0.01,27,8.7,45
"5003","3DS",2012,"Action","Konami Digital Entertainment",0.38,78,"M","Kojima Productions","Metal Gear Solid: Snake Eater 3D",0.15,0.11,0.1,0.02,46,7.8,167
"5004","3DS",2011,"Platform","Ubisoft",0.38,NA,NA,NA,"Raving Rabbids: Travel in Time 3D",0.11,0.23,0,0.04,NA,NA,NA
"5005","PS2",2010,"Sports","Electronic Arts",0.38,NA,"E","EA Tiburon","NCAA Football 11",0.19,0.15,0,0.05,NA,NA,NA
"5006","GBA",2004,"Action","Disney Interactive Studios",0.38,NA,NA,NA,"Lilo & Stitch 2: Hämsterviel Havoc",0.27,0.1,0,0.01,NA,NA,NA
"5007","PSP",2006,"Platform","Sony Computer Entertainment",0.38,83,"E","SCE Japan Studio","LocoRoco",0.14,0.04,0.16,0.03,67,8.7,89
"5008","PS2",2003,"Strategy","Atari",0.38,60,"T","Cyberlore Studios","Risk: Global Domination",0.19,0.15,0,0.05,9,8.8,25
"5009","PS4",2016,"Role-Playing","Square Enix",0.38,84,"M","Eidos Montreal","Deus Ex: Mankind Divided",0.11,0.21,0,0.06,59,7.6,511
"5010","PS",1996,"Action","Namco Bandai Games",0.38,NA,NA,NA,"Mobile Suit Gundam version 2.0",0,0,0.36,0.02,NA,NA,NA
"5011","X360",2016,"Sports","Electronic Arts",0.38,NA,"E","EA Sports, EA Vancouver","FIFA 17",0.07,0.28,0,0.03,NA,1.7,23
"5012","PS2",2002,"Role-Playing","Enix Corporation",0.38,68,"T","Game Arts","Grandia Xtreme",0.07,0.05,0.25,0.02,16,6.5,15
"5013","DS",2007,"Simulation","Atari",0.38,57,"E","NanaOn-Sha","Tamagotchi Connection: Corner Shop 3",0.06,0,0.31,0.01,4,NA,NA
"5014","PS2",2000,"Shooter","Konami Digital Entertainment",0.38,63,"M","KCET","Silent Scope",0.19,0.15,0,0.05,23,NA,NA
"5015","GB",1991,"Role-Playing","SquareSoft",0.38,NA,NA,NA,"Final Fantasy Adventure",0,0,0.38,0,NA,NA,NA
